,role,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,education,responsibility,yoe_x,company,socio_economic,2018_2019_mean,2019_2020_mean,2020_2021_mean,2021_2022_mean,2022_2023_mean,2023_2024_mean,2024_2025_mean,yoe_y,2018_2019_max,2019_2020_max,2020_2021_max,2021_2022_max,2022_2023_max,2023_2024_max,2024_2025_max,yoe_x,2018_2019_min,2019_2020_min,2020_2021_min,2021_2022_min,2022_2023_min,2023_2024_min,2024_2025_min,yoe_y,1819_1920_change,1920_2021_change,2021_2122_change,2122_2223_change,2223_2324_change,2324_2425_change
532,IT Sr. Staff: Training & Development Representative,,201.26,206.29,211.45,216.74,222.15,,Bachelor's,"Designs and delivers programs to train all levels of personnel. Develops tests and visual aids, conducts training classes, and develops criteria for evaluating effectiveness of training activities. Keeps abreast of training and development research: learning theory, motivation theory, and new materials, methods, and techniques. Develops in-house programs and practices to identify developmental needs, including preparing personnel for more responsible positions and increasing effectiveness in present assignments. May evaluate and/or oversee contractors or vendors to develop and/or administer training programs.",14,Lockheed Martin,Other than small business,,201.26,206.29,211.45,216.74,222.15,,14.0,,201.26,206.29,211.45,216.74,222.15,,14,,201.26,206.29,211.45,216.74,222.15,,14,,0.024992546954188618,0.025013330747976136,0.025017734689051885,0.024960782504383116,
533,IT Sr. Staff: Database Administrator,,201.26,206.29,211.45,216.74,222.15,,Bachelor's,"Implements and maintains smooth operation and physical design of databases. Reviews database design and integration of systems, provides backup recovery and makes recommendations regarding enhancements and/or improvements. Maintains security and integrity controls. Formulates policies, procedures, and standards relating to database management, and monitors transaction activity and utilization. Responsibilities include: database loading; development and management of operational procedures; environment management; database health (e.g. monitoring, proactive and reactive responses); resource planning; database upgrade planning; backup and recovery strategy planning and implementation; environment transition planning (development, test, stage, production).",14,Lockheed Martin,Other than small business,,201.26,206.29,211.45,216.74,222.15,,14.0,,201.26,206.29,211.45,216.74,222.15,,14,,201.26,206.29,211.45,216.74,222.15,,14,,0.024992546954188618,0.025013330747976136,0.025017734689051885,0.024960782504383116,
534,IT Sr. Staff: Applications Analyst,,201.26,206.29,211.45,216.74,222.15,,Bachelor's,Interfaces between systems analysts/programmers and users located in a specialized area to ensure that information technology designs meet the needs of the end users within an organization. Documents product/service requirements and develops test procedures to ensure user requests are carried out. Requires general-logic knowledge of system capabilities without necessarily the ability to program.,14,Lockheed Martin,Other than small business,,201.26,206.29,211.45,216.74,222.15,,14.0,,201.26,206.29,211.45,216.74,222.15,,14,,201.26,206.29,211.45,216.74,222.15,,14,,0.024992546954188618,0.025013330747976136,0.025017734689051885,0.024960782504383116,
535,IT Sr. Staff: Quality Analyst,,201.26,206.29,211.45,216.74,222.15,,Bachelor's,"Reviews, analyzes and reports on quality discrepancies related to assembly, process, mechanical, electrical and electro-mechanical systems. Investigates problems and develops disposition and corrective actions for recurring discrepancies. Interfaces with manufacturing, engineering, customer, vendor and subcontractor representatives to determine responsibilities. Recommends corrective actions, dispositions and modifications.",14,Lockheed Martin,Other than small business,,201.26,206.29,211.45,216.74,222.15,,14.0,,201.26,206.29,211.45,216.74,222.15,,14,,201.26,206.29,211.45,216.74,222.15,,14,,0.024992546954188618,0.025013330747976136,0.025017734689051885,0.024960782504383116,
536,IT Sr. Staff: Computer Systems Analyst,,201.26,206.29,211.45,216.74,222.15,,Bachelor's,"Designs, develops, programs, installs, implements, conducts research for, and maintains internal data processing computer systems and utilities, and/or for customers on a contract basis. Analyzes internal or external customers' needs, and determines equipment and software requirements for solutions to problems by means of automated systems; develops customized solutions to customer/user problems. Establishes system parameters and formats; ensures hardware/software compatibility; and coordinates and/or modifies user requirements in terms of existing and projected computer capacity and capabilities. May make programming changes as required to adapt or enhance existing or new programs and/or utilities. Maintains supplied software packages for internal users. Analyzes new hardware to determine its need or application in the existing or proposed system; advises on new techniques and estimated costs associated with new or revised programs and utilities, taking into consideration personnel, time, and hardware requirements, and makes trade-off analyses; develops general and detailed documentation describing system specifications and operating instructions; and revises existing systems and procedures to correct deficiencies and maintain more effective data handling, conversion, input/output requirements, and storage.",14,Lockheed Martin,Other than small business,,201.26,206.29,211.45,216.74,222.15,,14.0,,201.26,206.29,211.45,216.74,222.15,,14,,201.26,206.29,211.45,216.74,222.15,,14,,0.024992546954188618,0.025013330747976136,0.025017734689051885,0.024960782504383116,
537,IT Senior: System Administrator,,150.35,154.11,157.96,161.91,165.96,,Bachelor's,"Maintains smooth operation of multi-user computer systems, including coordination with network administrators. Duties may include setting up administrator and service accounts, maintaining system documentation, tuning system performance, installing system wide software and allocate mass storage space. Interacts with users and evaluates vendor products. Makes recommendations to purchase hardware and software, coordinates installation and provides backup recovery. Develops and monitors policies and standards for allocation related to the use of computing resources. Certifications: 8570 IAT II",5,Lockheed Martin,Other than small business,,150.35,154.11,157.96,161.91,165.96,,5.0,,150.35,154.11,157.96,161.91,165.96,,5,,150.35,154.11,157.96,161.91,165.96,,5,,0.025008313934153772,0.024982155603140575,0.02500633071663705,0.02501389660922742,
538,IT Senior: Computer Operations Support Analyst,,150.35,154.11,157.96,161.91,165.96,,Bachelor's,"Provides support to an enterprise management system. Performs monitoring and management of mainframes, networks and workgroup servers.",5,Lockheed Martin,Other than small business,,150.35,154.11,157.96,161.91,165.96,,5.0,,150.35,154.11,157.96,161.91,165.96,,5,,150.35,154.11,157.96,161.91,165.96,,5,,0.025008313934153772,0.024982155603140575,0.02500633071663705,0.02501389660922742,
539,IT Senior: Training & Development Representative,,150.35,154.11,157.96,161.91,165.96,,Bachelor's,"Designs and delivers programs to train all levels of personnel. Develops tests and visual aids, conducts training classes, and develops criteria for evaluating effectiveness of training activities. Keeps abreast of training and development research: learning theory, motivation theory, and new materials, methods, and techniques. Develops in-house programs and practices to identify developmental needs, including preparing personnel for more responsible positions and increasing effectiveness in present assignments. May evaluate and/or oversee contractors or vendors to develop and/or administer training programs.",5,Lockheed Martin,Other than small business,,150.35,154.11,157.96,161.91,165.96,,5.0,,150.35,154.11,157.96,161.91,165.96,,5,,150.35,154.11,157.96,161.91,165.96,,5,,0.025008313934153772,0.024982155603140575,0.02500633071663705,0.02501389660922742,
540,IT Senior: Database Administrator,,150.35,154.11,157.96,161.91,165.96,,Bachelor's,"Implements and maintains smooth operation and physical design of databases. Reviews database design and integration of systems, provides backup recovery and makes recommendations regarding enhancements and/or improvements. Maintains security and integrity controls. Formulates policies, procedures, and standards relating to database management, and monitors transaction activity and utilization. Responsibilities include: database loading; development and management of operational procedures; environment management; database health (e.g. monitoring, proactive and reactive responses); resource planning; database upgrade planning; backup and recovery strategy planning and implementation; environment transition planning (development, test, stage, production).",5,Lockheed Martin,Other than small business,,150.35,154.11,157.96,161.91,165.96,,5.0,,150.35,154.11,157.96,161.91,165.96,,5,,150.35,154.11,157.96,161.91,165.96,,5,,0.025008313934153772,0.024982155603140575,0.02500633071663705,0.02501389660922742,
541,IT Senior: Applications Analyst,,150.35,154.11,157.96,161.91,165.96,,Bachelor's,Interfaces between systems analysts/programmers and users located in a specialized area to ensure that information technology designs meet the needs of the end users within an organization. Documents product/service requirements and develops test procedures to ensure user requests are carried out. Requires general-logic knowledge of system capabilities without necessarily the ability to program.,5,Lockheed Martin,Other than small business,,150.35,154.11,157.96,161.91,165.96,,5.0,,150.35,154.11,157.96,161.91,165.96,,5,,150.35,154.11,157.96,161.91,165.96,,5,,0.025008313934153772,0.024982155603140575,0.02500633071663705,0.02501389660922742,
542,IT Senior: Quality Analyst,,150.35,154.11,157.96,161.91,165.96,,Bachelor's,"Reviews, analyzes and reports on quality discrepancies related to assembly, process, mechanical, electrical and electro-mechanical systems. Investigates problems and develops disposition and corrective actions for recurring discrepancies. Interfaces with manufacturing, engineering, customer, vendor and subcontractor representatives to determine responsibilities. Recommends corrective actions, dispositions and modifications.",5,Lockheed Martin,Other than small business,,150.35,154.11,157.96,161.91,165.96,,5.0,,150.35,154.11,157.96,161.91,165.96,,5,,150.35,154.11,157.96,161.91,165.96,,5,,0.025008313934153772,0.024982155603140575,0.02500633071663705,0.02501389660922742,
543,IT Senior: Computer Systems Analyst,,150.35,154.11,157.96,161.91,165.96,,Bachelor's,"Designs, develops, programs, installs, implements, conducts research for, and maintains internal data processing computer systems and utilities, and/or for customers on a contract basis. Analyzes internal or external customers' needs, and determines equipment and software requirements for solutions to problems by means of automated systems; develops customized solutions to customer/user problems. Establishes system parameters and formats; ensures hardware/software compatibility; and coordinates and/or modifies user requirements in terms of existing and projected computer capacity and capabilities. May make programming changes as required to adapt or enhance existing or new programs and/or utilities. Maintains supplied software packages for internal users. Analyzes new hardware to determine its need or application in the existing or proposed system; advises on new techniques and estimated costs associated with new or revised programs and utilities, taking into consideration personnel, time, and hardware requirements, and makes trade-off analyses; develops general and detailed documentation describing system specifications and operating instructions; and revises existing systems and procedures to correct deficiencies and maintain more effective data handling, conversion, input/output requirements, and storage.",5,Lockheed Martin,Other than small business,,150.35,154.11,157.96,161.91,165.96,,5.0,,150.35,154.11,157.96,161.91,165.96,,5,,150.35,154.11,157.96,161.91,165.96,,5,,0.025008313934153772,0.024982155603140575,0.02500633071663705,0.02501389660922742,
544,IT Associate: System Administrator,,85.16,87.29,89.47,91.71,94.0,,Bachelor's,"Maintains smooth operation of multi-user computer systems, including coordination with network administrators. Duties may include setting up administrator and service accounts, maintaining system documentation, tuning system performance, installing system wide software and allocate mass storage space. Interacts with users and evaluates vendor products. Makes recommendations to purchase hardware and software, coordinates installation and provides backup recovery. Develops and monitors policies and standards for allocation related to the use of computing resources. Certifications: 8570 IAT II",5,Lockheed Martin,Other than small business,,85.16,87.29,89.47,91.71,94.0,,5.0,,85.16,87.29,89.47,91.71,94.0,,5,,85.16,87.29,89.47,91.71,94.0,,5,,0.025011742602160752,0.0249742238515293,0.025036325025148038,0.024970014175117287,
545,IT Associate: Computer Operations Support Analyst,,85.16,87.29,89.47,91.71,94.0,,Bachelor's,"Provides support to an enterprise management system. Performs monitoring and management of mainframes, networks and workgroup servers.",5,Lockheed Martin,Other than small business,,85.16,87.29,89.47,91.71,94.0,,5.0,,85.16,87.29,89.47,91.71,94.0,,5,,85.16,87.29,89.47,91.71,94.0,,5,,0.025011742602160752,0.0249742238515293,0.025036325025148038,0.024970014175117287,
546,IT Associate: Training & Development Representative,,85.16,87.29,89.47,91.71,94.0,,Bachelor's,"Designs and delivers programs to train all levels of personnel. Develops tests and visual aids, conducts training classes, and develops criteria for evaluating effectiveness of training activities. Keeps abreast of training and development research: learning theory, motivation theory, and new materials, methods, and techniques. Develops in-house programs and practices to identify developmental needs, including preparing personnel for more responsible positions and increasing effectiveness in present assignments. May evaluate and/or oversee contractors or vendors to develop and/or administer training programs.",5,Lockheed Martin,Other than small business,,85.16,87.29,89.47,91.71,94.0,,5.0,,85.16,87.29,89.47,91.71,94.0,,5,,85.16,87.29,89.47,91.71,94.0,,5,,0.025011742602160752,0.0249742238515293,0.025036325025148038,0.024970014175117287,
547,IT Associate: Database,,85.16,87.29,89.47,91.71,94.0,,Bachelor's,"Implements and maintains smooth operation and physical design of databases. Reviews database design and integration of systems, provides backup recovery and makes recommendations regarding enhancements and/or improvements. Maintains security and integrity controls. Formulates policies, procedures, and standards relating to database management, and monitors transaction activity and utilization. Responsibilities include: database loading; development and management of operational procedures; environment management; database health (e.g. monitoring, proactive and reactive responses); resource planning; database upgrade planning; backup and recovery strategy planning and implementation; environment transition planning (development, test, stage, production).",5,Lockheed Martin,Other than small business,,85.16,87.29,89.47,91.71,94.0,,5.0,,85.16,87.29,89.47,91.71,94.0,,5,,85.16,87.29,89.47,91.71,94.0,,5,,0.025011742602160752,0.0249742238515293,0.025036325025148038,0.024970014175117287,
548,IT Associate: Applications Analyst,,85.16,87.29,89.47,91.71,94.0,,Bachelor's,Interfaces between systems analysts/programmers and users located in a specialized area to ensure that information technology designs meet the needs of the end users within an organization. Documents product/service requirements and develops test procedures to ensure user requests are carried out. Requires general-logic knowledge of system capabilities without necessarily the ability to program.,5,Lockheed Martin,Other than small business,,85.16,87.29,89.47,91.71,94.0,,5.0,,85.16,87.29,89.47,91.71,94.0,,5,,85.16,87.29,89.47,91.71,94.0,,5,,0.025011742602160752,0.0249742238515293,0.025036325025148038,0.024970014175117287,
549,IT Associate: Quality Analyst,,85.16,87.29,89.47,91.71,94.0,,Bachelor's,"Reviews, analyzes and reports on quality discrepancies related to assembly, process, mechanical, electrical and electro-mechanical systems. Investigates problems and develops disposition and corrective actions for recurring discrepancies. Interfaces with manufacturing, engineering, customer, vendor and subcontractor representatives to determine responsibilities. Recommends corrective actions, dispositions and modifications.",5,Lockheed Martin,Other than small business,,85.16,87.29,89.47,91.71,94.0,,5.0,,85.16,87.29,89.47,91.71,94.0,,5,,85.16,87.29,89.47,91.71,94.0,,5,,0.025011742602160752,0.0249742238515293,0.025036325025148038,0.024970014175117287,
550,IT Associate: Computer Systems Analyst,,85.16,87.29,89.47,91.71,94.0,,Bachelor's,"Designs, develops, programs, installs, implements, conducts research for, and maintains internal data processing computer systems and utilities, and/or for customers on a contract basis. Analyzes internal or external customers' needs, and determines equipment and software requirements for solutions to problems by means of automated systems; develops customized solutions to customer/user problems. Establishes system parameters and formats; ensures hardware/software compatibility; and coordinates and/or modifies user requirements in terms of existing and projected computer capacity and capabilities. May make programming changes as required to adapt or enhance existing or new programs and/or utilities. Maintains supplied software packages for internal users. Analyzes new hardware to determine its need or application in the existing or proposed system; advises on new techniques and estimated costs associated with new or revised programs and utilities, taking into consideration personnel, time, and hardware requirements, and makes trade-off analyses; develops general and detailed documentation describing system specifications and operating instructions; and revises existing systems and procedures to correct deficiencies and maintain more effective data handling, conversion, input/output requirements, and storage.",5,Lockheed Martin,Other than small business,,85.16,87.29,89.47,91.71,94.0,,5.0,,85.16,87.29,89.47,91.71,94.0,,5,,85.16,87.29,89.47,91.71,94.0,,5,,0.025011742602160752,0.0249742238515293,0.025036325025148038,0.024970014175117287,
551,Subject Matter Expert (IT),154.0,154.0,154.0,154.0,154.0,154.0,,Bachelor's,"Responsible for the analysis, design, development, deployment and/or sustainment of complex systems and projects and the preparation of written and oral findings of those analyses. Provides training and guidance for other analysts.",4,Newport Hall,small business,154.0,154.0,154.0,154.0,154.0,154.0,,4.0,154.0,154.0,154.0,154.0,154.0,154.0,,4,154.0,154.0,154.0,154.0,154.0,154.0,,4,0.0,0.0,0.0,0.0,0.0,
552,Senior Analyst,92.0,92.0,92.0,92.0,92.0,92.0,,Bachelor's,Responsible for the analysis of complex projects and the preparation of written and oral findings of those analyses. Provides training and guidance for other analysts.,6,Newport Hall,small business,92.0,92.0,92.0,92.0,92.0,92.0,,6.0,92.0,92.0,92.0,92.0,92.0,92.0,,6,92.0,92.0,92.0,92.0,92.0,92.0,,6,0.0,0.0,0.0,0.0,0.0,
553,Business Process Re-Engineering Analyst,92.0,92.0,92.0,92.0,92.0,92.0,,Master's,"― As Is and ― To Be evaluation of major information technology systems. Recommends and designs cost effective strategies to increase the effectiveness and efficiency of the organization‘s business processesthrough change in policies, procedures organizationalstructure and the application of enablingtechnology.",5,Newport Hall,small business,92.0,92.0,92.0,92.0,92.0,92.0,,5.0,92.0,92.0,92.0,92.0,92.0,92.0,,5,92.0,92.0,92.0,92.0,92.0,92.0,,5,0.0,0.0,0.0,0.0,0.0,
554,IT Outsourcing specialist,92.0,92.0,92.0,92.0,92.0,92.0,,Master's,"the analysis of complex business processesfor outsourcing. Comparative analysis of business solutions including in-house and external alternatives. Recommends and designs cost effective strategiesto determine the most effective, best value business solutions.",6,Newport Hall,small business,92.0,92.0,92.0,92.0,92.0,92.0,,6.0,92.0,92.0,92.0,92.0,92.0,92.0,,6,92.0,92.0,92.0,92.0,92.0,92.0,,6,0.0,0.0,0.0,0.0,0.0,
555,IT Systems Security Specialist,75.0,75.0,75.0,75.0,75.0,75.0,,Bachelor's,Responsible for the analysis and development ofsecurity solutionsfor customer systems. Supervise analytical and problem resolution process.,3,Newport Hall,small business,75.0,75.0,75.0,75.0,75.0,75.0,,3.0,75.0,75.0,75.0,75.0,75.0,75.0,,3,75.0,75.0,75.0,75.0,75.0,75.0,,3,0.0,0.0,0.0,0.0,0.0,
556,Data Management Specialist,75.0,75.0,75.0,75.0,75.0,75.0,,Bachelor's,"Assists customer in the planning and coordinating acquisition and implementation of database systems including application programming, data warehousing, user interface and transaction processing. Analyzes proposed and existing system used in processing applications in terms of data communications and database management/structure, requirements, and costs. Prepares studies and gives presentations on current data communications concepts. Prepares functional specifications for acquiring commercially available equipment. Consults with user management to ensure that problems are properly identified and solutionsmeet the requirements.",5,Newport Hall,small business,95.425,96.66499999999999,97.93,99.225,100.545,101.895,,5.5,115.85,118.33,120.86,123.45,126.09,128.79,,6,75.0,75.0,75.0,75.0,75.0,75.0,,5,0.0,0.0,0.0,0.0,0.0,
557,Internet Technical Specialist,75.0,75.0,75.0,75.0,75.0,75.0,,HS,"Responsible for the development of programsto offer Internetsolutionsforsystem requirements. Offers technical guidance to programmers, users and system analysts. Designs and implements Internet, Intranet and web-basedsystems.",2,Newport Hall,small business,75.0,75.0,75.0,75.0,75.0,75.0,,2.0,75.0,75.0,75.0,75.0,75.0,75.0,,2,75.0,75.0,75.0,75.0,75.0,75.0,,2,0.0,0.0,0.0,0.0,0.0,
558,Senior Computer Systems Analyst,75.0,75.0,75.0,75.0,75.0,75.0,,Master's,"Responsible for the supervision of analysts, the development,scheduling and implementation ofprojects.",5,Newport Hall,small business,75.0,82.38499999999999,82.38499999999999,82.38499999999999,82.38499999999999,82.38499999999999,,5.0,75.0,89.77,89.77,89.77,89.77,89.77,,5,75.0,75.0,75.0,75.0,75.0,75.0,,5,0.0,0.0,0.0,0.0,0.0,
559,Computer Systems Analyst,61.0,61.0,61.0,61.0,61.0,61.0,,Bachelor's,"Performs analysis ofsystems,requirements and the implementation ofrequirements through informationtechnologies.",3,Newport Hall,small business,74.425,75.36500000000001,76.325,77.305,78.31,79.33,,3.0,87.85,89.73,91.65,93.61,95.62,97.66,,3,61.0,61.0,61.0,61.0,61.0,61.0,,3,0.0,0.0,0.0,0.0,0.0,
560,Project manager,108.0,108.0,108.0,108.0,108.0,108.0,,Bachelor's,Manages projects and program as administrative (IT) or technical project manager. This position is responsible for the management and direction of the complete process of programs from proposal to implementation.,10,Newport Hall,small business,108.0,108.0,108.0,108.0,108.0,108.0,,10.0,108.0,108.0,108.0,108.0,108.0,108.0,,10,108.0,108.0,108.0,108.0,108.0,108.0,,10,0.0,0.0,0.0,0.0,0.0,
561,Technical Editor/Writer,55.0,55.0,55.0,55.0,55.0,55.0,,HS,"Draft, edit and finalize technical documents,support documentation, reports and memoranda for current projects. Supervises the preparation and publication of large documents through standards setting, editorial control, and relationships with printers.",2,Newport Hall,small business,55.0,55.0,55.0,55.0,55.0,55.0,,2.0,55.0,55.0,55.0,55.0,55.0,55.0,,2,55.0,55.0,55.0,55.0,55.0,55.0,,2,0.0,0.0,0.0,0.0,0.0,
562,Administrative assistant,30.0,30.0,30.0,30.0,30.0,30.0,,HS,"Management of office personnel. Financial management including supervision of invoicing, payments, time and recordkeeping.",3,Newport Hall,small business,30.0,30.0,30.0,30.0,30.0,30.0,,3.0,30.0,30.0,30.0,30.0,30.0,30.0,,3,30.0,30.0,30.0,30.0,30.0,30.0,,3,0.0,0.0,0.0,0.0,0.0,
563,Clerical support,30.0,30.0,30.0,30.0,30.0,30.0,,HS,"Responsible for overall administrative functions. Duties may include: administrative and support functions, employee time charge reporting, administrative security management.",2,Newport Hall,small business,30.0,30.0,30.0,30.0,30.0,30.0,,2.0,30.0,30.0,30.0,30.0,30.0,30.0,,2,30.0,30.0,30.0,30.0,30.0,30.0,,2,0.0,0.0,0.0,0.0,0.0,
564,Help Desk Manager,,71.22,71.22,71.22,71.22,71.22,,Bachelor's,"Provides daily supervision and direction to staff that are responsible for phone and in person Support to users in the areas of e-mail, directories, standard Windows desktop applications, And applications developed or deployed under this contract. This position serves as the initial Point of contact for troubleshooting hardware/software PC and printer problems. General experience includes information systems development, network and other work in the Client/server field, or related fields. Demonstrated ability to communicate orally and in writing And a positive customer service attitude.",7,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",120.55,97.63499999999999,99.435,101.285,71.22,71.22,,4.5,120.55,124.05,127.65,131.35,71.22,71.22,,7,120.55,71.22,71.22,71.22,71.22,71.22,,2,,0.0,0.0,0.0,0.0,
565,Help Desk Specialist,,42.59,42.59,42.59,42.59,42.59,,Associate's,"Provides phone and in-person support to users in the areas of e-mail, directories, Standard Windows desktop applications, and applications developed under this contract or Predecessors. Serves as a technical point of contact for troubleshooting hardware/software PC and Printer problems. General experience includes information systems development and other work in the client/server Field, or related fields. Demonstrated ability to communicate orally and in writing and a positive Customer service attitude.",3,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",77.36,54.92666666666667,55.696666666666665,56.49000000000001,42.59,42.59,,2.3333333333333335,77.36,79.6,81.91,84.29,42.59,42.59,,3,77.36,42.59,42.59,42.59,42.59,42.59,,1,,0.0,0.0,0.0,0.0,
566,Help Desk Specialist,,42.59,42.59,42.59,42.59,42.59,,Bachelor's,"Provides phone and in-person support to users in the areas of e-mail, directories, Standard Windows desktop applications, and applications developed under this contract or Predecessors. Serves as a technical point of contact for troubleshooting hardware/software PC and Printer problems. General experience includes information systems development and other work in the client/server Field, or related fields. Demonstrated ability to communicate orally and in writing and a positive Customer service attitude.",3,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",77.36,54.92666666666667,55.696666666666665,56.49000000000001,42.59,42.59,,2.3333333333333335,77.36,79.6,81.91,84.29,42.59,42.59,,3,77.36,42.59,42.59,42.59,42.59,42.59,,1,,0.0,0.0,0.0,0.0,
567,Project Administrator II,,50.87,50.87,50.87,50.87,50.87,,Bachelor's,"Analyzes project requirements in the areas of business management, financial management, program scheduling, critical path analyses, support requirements, and performs other related analyst/management activities required for successful completion of the task. Conducts impact studies, cost/benefit analyses, dependency models, and project tracking methodologies to ensure the success and efficiency of the project.",2,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",,50.87,50.87,50.87,50.87,50.87,,2.0,,50.87,50.87,50.87,50.87,50.87,,2,,50.87,50.87,50.87,50.87,50.87,,2,,0.0,0.0,0.0,0.0,
568,Quality Assurance Manager,,86.49,86.49,86.49,86.49,86.49,,Bachelor's,Establishes and maintains a process for evaluating software and associated documentation. Determines the resources required for quality control. Maintains the level of quality throughout the software life cycle. Conducts formal and informal reviews at predetermined points throughout the development life cycle.,8,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",,86.49,86.49,86.49,86.49,86.49,,8.0,,86.49,86.49,86.49,86.49,86.49,,8,,86.49,86.49,86.49,86.49,86.49,,8,,0.0,0.0,0.0,0.0,
569,Systems Engineer,,76.31,76.31,76.31,76.31,76.31,,Bachelor's,"Applies systems engineering principles to investigate, analyze, plan, design, develop, Implement, test, or evaluate military weapon systems: review and prepare system engineering And technical analyses, reports, change proposals, and other technical documentation. Applies System engineering experience to perform functions such as system integration, configuration Management, quality assurance testing, or acquisition and resource management. Analyzes, Designs, develops, implements, tests, or evaluates automated data processing software related to Engineering or functional requirements of military weapons systems, associated support Systems, or management information systems.",3,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",93.49,85.9,86.92,87.965,89.03,90.12,,3.0,93.49,95.49,97.53,99.62,101.75,103.93,,3,93.49,76.31,76.31,76.31,76.31,76.31,,3,,0.0,0.0,0.0,0.0,
570,Sr. Systems Engineer,,81.4,81.4,81.4,81.4,81.4,,Bachelor's,"Applies systems engineering principles to investigate, analyze, plan, design, develop, Implement, test, or evaluate military weapon systems: review and prepare system engineering And technical analyses, reports, change proposals, and other technical documentation. Applies System engineering experience to perform functions such as system integration, configuration Management, quality assurance testing, or acquisition and resource management. Analyzes, Designs, develops, implements, tests, or evaluates automated data processing software related to Engineering or functional requirements of military weapons systems, associated support Systems, or management information systems.",8,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",122.43,103.225,104.565,105.93,107.325,108.75,,8.0,122.43,125.05,127.73,130.46,133.25,136.1,,8,122.43,81.4,81.4,81.4,81.4,81.4,,8,,0.0,0.0,0.0,0.0,
571,Business Application and Resource Analyst ,,72.59,72.59,72.59,72.59,72.59,,Bachelor's,"Responsible for manpower resource planning and allocation, analysis of buying trends, research, analysis and presentation of contract status and resource reports, and market analysis. Supports the government Acquisition Contract Management Team in developing, implementing, and documenting best business practices related to manpower resource planning, allocation and compensation. Provides professional support to Contract and Business Managers in meeting and maintaining manpower resource requirements. Evaluates internal manpower requirements for the execution of IT strategies and procedures and performs analysis of external market factors affecting compensation for IT professionals and supporting technical personnel. Develops compensation strategies for achieving and maintaining the optimum levels of technical capability with available financial resources.",4,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",,72.59,72.59,72.59,72.59,72.59,,4.0,,72.59,72.59,72.59,72.59,72.59,,4,,72.59,72.59,72.59,72.59,72.59,,4,,0.0,0.0,0.0,0.0,
572,Senior Application Engineer,,79.8,79.8,79.8,79.8,79.8,,Bachelor's,"Analyzes and studies complex system requirements. Designs software tools and subsystems to support software reuse and domain analyses and manages their implementation. Manages software development and support using formal specifications, data flow diagrams, other accepted design techniques and Computer Aided Software Engineering (CASE) tools. Estimates software development costs and schedule. Reviews existing programs and assists in making refinements, reducing operating time, and improving current techniques. Supervises software configuration management.",4,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",126.75,104.47999999999999,105.71000000000001,106.96000000000001,79.8,79.8,,7.0,126.75,129.16,131.62,134.12,79.8,79.8,,10,126.75,79.8,79.8,79.8,79.8,79.8,,4,,0.0,0.0,0.0,0.0,
573,Program Manager,,74.81,74.81,74.81,74.81,74.81,,Bachelor's,"Acts as the overall lead, manager and administrator for the contract effort. Serves as the primary interface and point of contact with government program authorities and representatives on technical and program/project issues. Supervises program/project operations by developing procedures, planning and directing execution of the technical, programming, maintenance and administrative support effort and monitoring and reporting progress. Manages acquisition and employment of program/project resources. Manages and controls financial and administrative aspects of the program/project with respect to contract requirements. As a result of the above functions, a Secret clearance is required for the position.",4,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",184.352,169.36666666666667,172.72333333333336,176.165,108.6225,113.395,,10.166666666666666,389.42,400.71,412.33,424.29,148.8,151.98,,15,88.71,74.81,74.81,74.81,74.81,74.81,,4,,0.0,0.0,0.0,0.0,
574,Computer Engineer III,,89.77,89.77,89.77,89.77,89.77,,Bachelor's,"Has knowledge in one or more aspects of telecommunications or data system integration. This individual possesses broad knowledge in one or more areas of the telecommunications or data network arenas and may possess specialized knowledge in one of the following areas: routing/switching infrastructures, transport technology, network management systems, or network protocols for computer telephony integration (CTI). Performs research in support of the development of requirements or standards for a specific CTI specialty. Assists in testing or analysis of CTI interoperability with data or telecommunication protocols or services. Performs general technical support in one or more specific areas of research associated with computer or telecommunications network interoperability or integration. Capable of working with supervision on specific tasks associated with the implementation of specific aspects of computer telephony integration.",4,1 Source Consulting,"Small business, Service Disabled Veteran Owned Small business, SBA Certified Small Disadvantaged business",,89.77,89.77,89.77,89.77,89.77,,4.0,,89.77,89.77,89.77,89.77,89.77,,4,,89.77,89.77,89.77,89.77,89.77,,4,,0.0,0.0,0.0,0.0,
